2010-12-05 07:31:23.29 server    Microsoft SQL Server  2000 - 8.00.2039 (Intel X86) 
	May  3 2005 23:18:38 
	Copyright (c) 1988-2003 Microsoft Corporation
	Desktop Engine on Windows NT 5.1 (Build 2600: Service Pack 3)

2010-12-05 07:31:23.43 server    Copyright (C) 1988-2002 Microsoft Corporation.
2010-12-05 07:31:23.43 server    保留所有权利。
2010-12-05 07:31:23.45 server    服务器进程 ID 是 1904。
2010-12-05 07:31:23.45 server    将 SQL Server 消息记录在文件“E:\PB源码\pb9\通用进~1\川北机电\sql2000\Log\SQL日志.Log”中。
2010-12-05 07:31:23.78 server    SQL Server 正在以优先级“normal”（已检测到 1 CPU）启动。
2010-12-05 07:31:24.76 server    已为 thread 模式处理而配置了 SQL Server。
2010-12-05 07:31:24.89 server    使用 dynamic 锁分配。[500] 锁块，[1000] 锁所有者块。
2010-12-05 07:31:26.54 spid3     启动数据库“master”。
2010-12-05 07:31:29.81 server    正在使用“SSNETLIB.DLL”版本“8.0.2039”。
2010-12-05 07:31:29.84 spid5     启动数据库“model”。
2010-12-05 07:31:29.96 spid3     服务器名称是“XP-201007150744\MYSQL”。
2010-12-05 07:31:29.96 spid3     Skipping startup of clean database id 4
2010-12-05 07:31:29.96 spid3     Skipping startup of clean database id 5
2010-12-05 07:31:29.96 spid3     Skipping startup of clean database id 6
2010-12-05 07:31:29.98 spid3     Skipping startup of clean database id 7
2010-12-05 07:31:29.98 spid3     Skipping startup of clean database id 8
2010-12-05 07:31:30.18 server    SQL Server 正在监听 192.168.1.5: 7788。
2010-12-05 07:31:30.18 server    SQL Server 正在监听 127.0.0.1: 7788。
2010-12-05 07:31:30.26 server    SQL Server 正在监听 TCP, Shared Memory, Named Pipes。
2010-12-05 07:31:30.39 server    SQL Server 已准备好进行客户端连接
2010-12-05 07:31:31.57 spid5     清除 tempdb 数据库。
2010-12-05 07:31:44.01 spid5     启动数据库“tempdb”。
2010-12-05 07:31:46.53 spid3     恢复完成。
2010-12-07 09:02:32.90 spid55    启动数据库“lxjxc”。
